compiler,case,scenario,mode,trial,checked_messages,worker_processes,signals_sent,basis,successor_all_attached_ns,successor_first_validated_read_ns,old_ready,old_unavailable_orphans
gcc,storm_ncq_1p16c_t001,storm,2,1,32000,17,292,,,,0,0
gcc,storm_ncq_16p16c_t001,storm,2,1,32000,32,230,,,,0,0
gcc,storm_restart_spsc_1p1c_t001,storm_restart,1,1,32000,2,78,,,,0,0
gcc,storm_restart_ncq_1p1c_t001,storm_restart,2,1,32000,2,22,,,,0,0
gcc,storm_restart_ncq_4p4c_t001,storm_restart,2,1,32000,8,68,,,,0,0
gcc,storm_restart_ncq_16p1c_t001,storm_restart,2,1,32000,17,130,,,,0,0
gcc,storm_restart_ncq_1p16c_t001,storm_restart,2,1,32000,17,250,,,,0,0
gcc,storm_restart_ncq_16p16c_t001,storm_restart,2,1,32000,32,350,,,,0,0
gcc,write_claim_ncq_1p1c_t002,write_claim,2,2,20000,7,1,terminal_notification,2251863,2325471,0,1
gcc,write_reserved_ncq_1p1c_t002,write_reserved,2,2,20000,7,1,terminal_notification,2009194,2082242,0,1
gcc,write_committed_ncq_1p1c_t002,write_committed,2,2,20000,7,1,terminal_notification,1933983,1998718,0,1
gcc,write_published_ncq_1p1c_t002,write_published,2,2,20000,7,1,terminal_notification,1924019,1996396,0,0
gcc,read_claim_ncq_1p1c_t002,read_claim,2,2,20000,7,1,terminal_notification,2238723,2342396,0,1
gcc,read_returning_ncq_1p1c_t002,read_returning,2,2,20000,7,1,terminal_notification,2099317,2344840,0,1
gcc,read_returned_ncq_1p1c_t002,read_returned,2,2,20000,7,1,terminal_notification,2010897,2079389,0,0
gcc,late_publication_ncq_1p1c_t002,late_publication,2,2,20000,7,1,false_suspicion,3605610,3688482,1,0
gcc,write_partial_ncq_1p1c_t002,write_partial,2,2,20000,7,1,terminal_notification,1885823,1954905,0,1
gcc,read_held_ncq_1p1c_t002,read_held,2,2,20000,7,1,terminal_notification,2088120,2159816,0,1
gcc,resume_write_ncq_1p1c_t002,resume_write,2,2,20000,7,1,false_suspicion,6490467,6560100,0,1
gcc,resume_read_ncq_1p1c_t002,resume_read,2,2,20000,7,1,false_suspicion,3812054,3880315,0,1
gcc,async_resume_write_ncq_1p1c_t002,async_resume_write,2,2,1809452,7,1,false_suspicion,13385820,13437016,1,1
gcc,write_partial_spsc_1p1c_t002,write_partial,1,2,10000,4,1,terminal_notification,1764734,1893073,0,0
gcc,read_held_spsc_1p1c_t002,read_held,1,2,10000,4,1,terminal_notification,1616495,1695131,0,0
gcc,resume_write_spsc_1p1c_t002,resume_write,1,2,10000,4,1,false_suspicion,1762290,1839504,0,0
gcc,resume_read_spsc_1p1c_t002,resume_read,1,2,10000,4,1,false_suspicion,1686388,1775149,0,0
gcc,random_abort_kill_ncq_1p1c_t002,random_abort_kill,2,2,20000,7,1,terminal_notification,1970237,2057887,0,0
gcc,storm_spsc_1p1c_t002,storm,1,2,32000,2,24,,,,0,0
gcc,storm_ncq_1p1c_t002,storm,2,2,32000,2,30,,,,0,0
gcc,storm_ncq_4p4c_t002,storm,2,2,32000,8,60,,,,0,0
gcc,storm_ncq_16p1c_t002,storm,2,2,32000,17,184,,,,0,0
gcc,storm_ncq_1p16c_t002,storm,2,2,32000,17,182,,,,0,0
gcc,storm_ncq_16p16c_t002,storm,2,2,32000,32,190,,,,0,0
gcc,storm_restart_spsc_1p1c_t002,storm_restart,1,2,32000,2,24,,,,0,0
gcc,storm_restart_ncq_1p1c_t002,storm_restart,2,2,32000,2,24,,,,0,0
